station_id,station_name,SIDO_NM,CCG_NM,mapping_method,scope_warning
201,강화,인천광역시,강화군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
202,양평,경기도,양평군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
203,이천,경기도,이천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
211,인제,강원특별자치도,인제군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
212,홍천,강원특별자치도,홍천군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
216,태백,강원특별자치도,태백시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
217,정선군,강원특별자치도,정선군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
221,제천,충청북도,제천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
226,보은,충청북도,보은군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
235,보령,충청남도,보령시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
236,부여,충청남도,부여군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
238,금산,충청남도,금산군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
239,세종,세종특별자치시,세종특별자치시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
243,부안,전북특별자치도,부안군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
244,임실,전북특별자치도,임실군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
245,정읍,전북특별자치도,정읍시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
247,남원,전북특별자치도,남원시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
248,장수,전북특별자치도,장수군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
251,고창군,전북특별자치도,고창군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
252,영광군,전라남도,영광군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
253,김해시,경상남도,김해시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
254,순창군,전북특별자치도,순창군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
257,양산시,경상남도,양산시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
258,보성군,전라남도,보성군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
259,강진군,전라남도,강진군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
260,장흥,전라남도,장흥군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
261,해남,전라남도,해남군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
262,고흥,전라남도,고흥군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
263,의령군,경상남도,의령군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
264,함양군,경상남도,함양군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
266,광양시,전라남도,광양시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
268,진도군,전라남도,진도군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
271,봉화,경상북도,봉화군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
272,영주,경상북도,영주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
273,문경,경상북도,문경시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
276,청송군,경상북도,청송군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
277,영덕,경상북도,영덕군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
278,의성,경상북도,의성군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
279,구미,경상북도,구미시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
281,영천,경상북도,영천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
283,경주시,경상북도,경주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
284,거창,경상남도,거창군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
285,합천,경상남도,합천군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
288,밀양,경상남도,밀양시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
289,산청,경상남도,산청군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
294,거제,경상남도,거제시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
295,남해,경상남도,남해군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
