station_id,station_name,avg_local_pressure_hpa,avg_sea_pressure_hpa,avg_temp_c,temp_normal_diff_c,avg_high_temp_c,max_temp_c,max_temp_day,avg_low_temp_c,min_temp_c,min_temp_day,days_max_ge_25c,days_min_lt_0c,avg_surface_min_temp_c,avg_humidity_pct,avg_cloud_tenths,ground_temp_0_5m_c,sunshine_hours,sunshine_pct,precipitation_total_mm,precip_normal_diff_mm,max_daily_precip_mm,max_daily_precip_day,days_precip_ge_0_1mm,days_precip_ge_1mm,days_precip_ge_10mm,days_precip_ge_30mm,total_evaporation_mm,avg_wind_ms,max_wind_ms,max_wind_direction,max_wind_day,days_cloud_lt_2_5,days_cloud_ge_7_5,phenomenon_dust_days,phenomenon_fog_days,phenomenon_storm_days,phenomenon_thunder_days,phenomenon_snow_days,phenomenon_frost_days,phenomenon_ice_days,STRD_YYMM,SIDO_NM,CCG_NM,mapping_method,scope_warning
162,통영,1018.0,1021.9,2.6,-0.5,8.2,17.1,15,-1.9,-6.5,22,0,23,-6.2,42.0,2.1,,247.6,78.9,0.0,-32.2,0.0,15,0,0,0,0,,2.9,10.7,WSW,10,18,0,0,,0,,,,,202601,경상남도,통영시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
165,목포,1019.3,1025.0,0.8,-1.0,4.2,14.2,15,-2.6,-6.8,22,0,27,-5.5,73.0,5.0,5.2,169.6,54.0,18.9,-12.9,12.8,11,7,2,1,0,,4.9,14.8,N,19,3,5,1,1.0,1,0.0,11.0,5.0,27.0,202601,전라남도,목포시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
168,여수,1015.1,1023.5,1.8,-1.0,6.6,16.8,15,-1.6,-6.8,22,0,23,-4.5,45.0,2.5,5.2,226.8,74.6,0.0,-24.5,0.0,15,0,0,0,0,,5.3,17.2,NNW,21,17,0,0,0.0,1,0.0,2.0,2.0,26.0,202601,전라남도,여수시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
169,흑산도,1015.4,1024.9,3.5,0.1,6.3,14.1,15,0.9,-2.5,22,0,9,0.1,66.0,6.3,,127.9,40.7,3.6,-19.4,1.3,11,7,1,0,0,,8.5,19.5,NNW,19,3,14,2,0.0,14,0.0,10.0,1.0,16.0,202601,전라남도,신안군,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
170,완도,1020.1,1024.5,2.3,-0.4,7.3,16.9,15,-2.1,-5.4,26,0,24,-4.9,62.0,4.2,,180.3,57.2,3.7,-30.3,3.2,11,3,1,0,0,,3.0,11.8,WNW,10,7,1,0,,0,,,,,202601,전라남도,완도군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
172,고창,1018.1,1024.8,-0.8,-0.8,4.1,14.4,16,-5.6,-9.2,22,0,30,-7.3,70.0,5.4,,173.4,55.5,12.5,-18.6,5.9,2,9,3,0,0,,3.2,13.3,W,10,3,8,0,,0,,,,,202601,전북특별자치도,고창군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
174,순천,1001.7,1022.5,-0.6,,5.1,17.7,15,-5.5,-11.2,26,0,30,-8.1,52.0,3.5,,215.9,68.8,2.6,,1.5,11,5,1,0,0,,3.0,9.0,WNW,10,10,2,0,,0,,,,,202601,전라남도,순천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
177,홍성,1020.6,1024.2,-2.4,,2.7,11.2,15,-7.8,-12.3,31,0,31,-10.3,64.0,4.0,,203.3,65.7,2.9,,1.2,19,6,1,0,0,,2.0,9.5,W,10,11,3,0,,0,,,,,202601,충청남도,홍성군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
184,제주,1021.6,1024.2,5.9,-0.2,8.9,18.5,15,3.0,-0.2,2,0,1,-1.0,56.0,6.2,9.2,110.5,34.8,6.7,-60.8,4.0,2,7,2,0,0,,4.3,12.3,N,2,2,11,4,0.0,0,0.0,8.0,1.0,5.0,202601,제주특별자치도,제주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
185,고산,1014.9,1023.7,6.0,-0.1,8.4,17.8,15,3.4,-0.3,2,0,1,1.2,64.0,5.9,,113.3,35.7,6.5,-34.1,3.1,26,7,2,0,0,,10.8,29.6,NW,11,4,12,1,,20,,,,,202601,제주특별자치도,제주시,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
188,성산,1021.5,1024.0,5.1,-0.3,8.8,19.2,15,1.1,-3.4,25,0,10,-1.7,61.0,4.9,,155.3,49.0,14.7,-62.8,7.8,2,7,2,0,0,,3.3,10.9,SW,15,5,6,0,,0,,,,,202601,제주특별자치도,서귀포시,공식 지점명 기반 수동 위치연결,관측지점 값은 시군구 전체 평균이 아님
189,서귀포,1016.7,1023.2,7.4,0.2,11.8,18.8,15,3.6,-0.1,11,0,1,-0.7,57.0,4.6,,182.4,57.4,9.5,-51.2,4.6,26,4,2,0,0,,2.1,8.1,SW,12,7,3,1,0.0,0,0.0,6.0,1.0,10.0,202601,제주특별자치도,서귀포시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
192,진주,1019.3,1023.1,0.2,-0.1,7.4,18.4,15,-6.4,-10.6,3,0,30,-10.1,47.0,2.5,,237.2,75.7,0.0,-28.0,0.0,15,0,0,0,0,,1.0,7.4,W,10,19,2,0,,0,,,,,202601,경상남도,진주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
201,강화,1019.5,1025.7,-4.7,-1.5,0.2,8.2,10,-10.2,-14.4,21,0,31,-14.4,56.0,2.6,,210.0,68.4,5.6,-10.0,4.9,12,3,1,0,0,,1.8,9.9,SW,10,17,1,1,,0,,,,,202601,인천광역시,강화군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
202,양평,1018.8,1024.9,-3.8,-0.4,0.9,8.0,10,-8.5,-13.4,23,0,31,-11.8,52.0,3.1,,200.3,65.2,7.2,-10.0,2.4,12,6,4,0,0,,1.5,8.3,W,10,15,3,1,,0,,,,,202601,경기도,양평군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
203,이천,1014.9,1025.2,-3.8,-0.7,1.7,10.7,15,-9.1,-14.4,23,0,31,-11.7,55.0,3.5,,190.8,61.9,5.3,-13.9,1.7,10,5,3,0,0,,1.2,7.9,WSW,10,13,4,0,,0,,,,,202601,경기도,이천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
211,인제,997.4,1023.4,-5.8,-1.1,-0.3,7.7,16,-11.8,-17.3,23,0,31,-15.2,59.0,3.6,,174.1,56.9,13.7,-2.9,4.3,10,9,5,0,0,,1.4,8.1,SSW,10,14,6,2,,0,,,,,202601,강원특별자치도,인제군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
212,홍천,1006.8,1024.9,-5.3,-0.5,0.4,8.0,16,-10.8,-15.9,22,0,31,-13.2,51.0,3.6,,158.0,51.5,8.0,-7.8,3.0,10,6,4,0,0,,1.1,6.5,WSW,10,13,5,1,,0,,,,,202601,강원특별자치도,홍천군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
216,태백,933.6,1021.8,-5.4,-0.7,0.1,10.0,16,-10.7,-16.1,2,0,30,-13.7,45.0,3.7,,168.6,54.7,14.1,-12.5,10.7,10,7,2,1,0,,1.6,5.8,SSW,10,11,4,0,,0,,,,,202601,강원특별자치도,태백시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
217,정선군,984.0,1023.8,-5.2,-1.2,0.8,9.9,16,-10.8,-16.3,2,0,31,-12.7,51.0,3.4,,183.4,59.6,25.9,8.4,17.2,10,7,4,1,0,,1.8,7.7,S,10,12,4,0,,0,,,,,202601,강원특별자치도,정선군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
221,제천,990.3,1024.2,-5.4,-0.6,0.1,8.6,16,-11.3,-15.8,25,0,31,-13.8,60.0,3.6,,220.3,71.4,12.8,-7.5,9.1,10,8,2,0,0,,1.9,11.1,WSW,10,14,5,0,,0,,,,,202601,충청북도,제천시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
226,보은,1002.8,1024.7,-3.3,-0.4,2.5,12.2,15,-9.2,-14.3,22,0,30,-14.1,60.0,3.3,,218.1,70.4,4.9,-18.5,2.0,10,6,2,0,0,,1.5,7.2,W,10,14,2,0,,0,,,,,202601,충청북도,보은군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
235,보령,1023.1,1024.4,-1.1,-0.9,4.3,11.7,16,-6.1,-10.4,28,0,29,-8.9,62.0,4.6,,186.5,60.1,2.0,-20.6,0.8,24,4,0,0,0,,2.2,8.7,S,15,6,5,0,,0,,,,,202601,충청남도,보령시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
236,부여,1023.6,1025.3,-2.2,-0.7,3.6,12.5,15,-7.9,-12.2,22,0,31,-11.1,64.0,3.7,,203.8,65.6,2.9,-22.0,1.2,24,4,1,0,0,,1.3,9.3,W,10,11,4,0,,0,,,,,202601,충청남도,부여군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
238,금산,1002.6,1024.6,-2.1,0.3,3.8,14.0,15,-8.0,-12.5,22,0,30,-11.4,60.0,3.6,,201.4,64.7,5.7,-19.8,3.8,10,5,1,0,0,,1.4,7.4,W,10,10,4,0,,0,,,,,202601,충청남도,금산군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
239,세종,1013.1,1024.6,-2.4,,2.8,13.2,15,-7.3,-12.5,22,0,30,-10.0,59.0,3.1,,194.2,62.6,4.1,,2.0,10,5,1,0,0,,1.6,6.6,NW,10,14,2,0,,0,,,,,202601,세종특별자치시,세종특별자치시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
243,부안,1023.7,1025.3,-0.4,-0.2,4.2,13.9,15,-5.0,-8.9,22,0,30,-9.1,66.0,5.3,,163.2,52.3,4.4,-27.3,1.8,2,7,2,0,0,,1.5,8.4,W,10,3,6,2,,0,,,,,202601,전북특별자치도,부안군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
244,임실,993.4,1024.7,-2.0,0.5,3.9,15.6,15,-7.6,-11.8,26,0,30,-12.5,64.0,4.3,,174.6,56.0,3.3,-25.2,2.2,10,5,1,0,0,,1.2,8.0,NNW,10,8,4,2,,0,,,,,202601,전북특별자치도,임실군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
245,정읍,1016.4,1025.1,-0.9,-0.7,3.7,15.0,15,-5.7,-9.4,22,0,29,-9.0,66.0,5.1,,179.3,57.4,4.6,-31.9,1.1,21,8,2,0,0,,2.3,10.1,W,10,5,5,0,,0,,,,,202601,전북특별자치도,정읍시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
247,남원,1007.6,1024.6,-1.7,-0.4,4.4,15.7,15,-7.2,-11.5,22,0,30,-9.6,63.0,4.2,,194.7,62.3,2.7,-25.8,1.2,10,5,1,0,0,,1.4,8.8,WNW,10,8,4,0,,0,,,,,202601,전북특별자치도,남원시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
248,장수,973.7,1024.8,-3.2,-0.2,2.6,13.4,15,-9.4,-14.1,12,0,31,-12.5,61.0,4.8,,189.6,60.8,4.9,-27.0,2.9,10,7,1,0,0,,1.9,8.0,W,10,6,7,0,,0,,,,,202601,전북특별자치도,장수군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
251,고창군,1017.4,1024.9,-0.8,,4.0,14.1,15,-5.8,-9.0,22,0,29,-6.2,68.0,5.3,,150.9,48.3,5.9,,1.8,21,9,1,0,0,,1.9,8.2,WSW,10,4,7,0,,0,,,,,202601,전북특별자치도,고창군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
252,영광군,1020.6,1025.4,-0.5,-0.1,3.8,13.6,15,-5.0,-8.9,22,0,30,-6.8,68.0,5.5,,172.9,55.2,21.8,-10.9,7.8,2,9,5,0,0,,2.0,7.8,WNW,10,4,8,0,,0,,,,,202601,전라남도,영광군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
253,김해시,1016.0,1022.9,1.6,-0.5,7.5,18.9,15,-3.4,-9.2,22,0,25,-6.3,38.0,2.1,,34.2,55.0,0.0,-26.4,0.0,15,0,0,0,0,,2.1,12.9,WNW,10,19,1,0,,0,,,,,202601,경상남도,김해시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
254,순창군,1008.9,1025.4,-1.5,0.0,3.9,15.7,15,-6.7,-10.9,26,0,30,-9.7,60.0,4.5,,186.1,59.5,5.1,-20.8,2.1,10,8,1,0,0,,2.0,12.5,WNW,10,7,4,0,,0,,,,,202601,전북특별자치도,순창군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
257,양산시,1020.3,1021.1,2.4,0.1,7.9,18.3,15,-2.7,-6.9,22,0,27,-6.3,41.0,2.1,,191.0,61.1,0.0,-27.0,0.0,15,0,0,0,0,,2.2,10.5,WSW,10,19,1,0,,0,,,,,202601,경상남도,양산시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
258,보성군,1024.1,1024.3,1.1,,7.0,18.3,15,-4.0,-8.3,26,0,30,-6.9,55.0,3.4,,210.7,67.1,1.8,,1.8,11,1,1,0,0,,3.6,11.9,WNW,10,12,2,0,,0,,,,,202601,전라남도,보성군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
259,강진군,1022.5,1024.5,1.0,-0.1,6.4,18.0,15,-4.0,-7.5,12,0,30,-7.0,64.0,4.3,,163.9,52.1,4.6,-25.1,4.0,11,3,1,0,0,,2.3,7.6,W,10,7,2,0,,0,,,,,202601,전라남도,강진군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
260,장흥,1018.9,1024.5,0.4,-0.6,6.3,17.9,15,-5.4,-10.2,12,0,30,-9.6,63.0,4.0,,190.1,60.5,4.4,-23.8,3.9,11,3,1,0,0,,2.7,10.7,WNW,21,8,2,0,,0,,,,,202601,전라남도,장흥군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
261,해남,1023.1,1025.2,0.8,-0.5,6.0,16.6,15,-4.8,-9.2,26,0,29,-7.7,70.0,4.8,,177.1,56.3,6.7,-23.7,4.9,11,4,2,0,0,,2.8,11.4,W,10,5,5,0,,0,,,,,202601,전라남도,해남군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
262,고흥,1017.2,1023.8,0.9,-0.7,7.2,17.8,15,-4.8,-9.8,26,0,30,-7.5,57.0,3.2,,205.6,65.4,1.5,-24.4,1.5,11,1,1,0,0,,2.6,10.9,WNW,19,11,2,0,,0,,,,,202601,전라남도,고흥군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
263,의령군,1020.5,1022.3,-1.7,-1.4,6.5,17.7,15,-8.8,-12.7,22,0,31,-9.6,50.0,2.4,,226.1,77.1,0.4,-22.1,0.4,15,1,0,0,0,,2.1,10.3,W,10,20,3,0,,0,,,,,202601,경상남도,의령군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
264,함양군,1004.2,1023.4,-0.4,-0.1,5.7,17.0,16,-5.9,-11.7,26,0,30,-7.5,47.0,3.3,,210.7,67.5,0.9,-21.9,0.6,10,3,0,0,0,,2.9,9.6,NW,10,12,3,0,,0,,,,,202601,경상남도,함양군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
266,광양시,1012.3,1023.4,1.7,,7.7,18.2,15,-2.8,-7.4,22,0,26,-3.7,52.0,2.7,,223.5,71.2,0.5,,0.5,11,1,0,0,0,,2.6,9.4,W,10,15,1,0,,0,,,,,202601,전라남도,광양시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
268,진도군,1022.5,1023.8,1.6,-0.5,5.6,15.4,15,-2.9,-7.2,23,0,28,-2.0,70.0,5.4,,152.9,48.6,12.7,-19.2,6.0,11,6,2,0,0,,3.5,10.2,NW,20,5,7,1,,0,,,,,202601,전라남도,진도군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
271,봉화,982.2,1023.4,-5.0,-1.0,1.4,10.6,16,-11.9,-20.1,12,0,31,-13.0,52.0,3.0,,227.7,73.7,12.8,-3.7,10.1,10,5,2,1,0,,1.7,6.9,WNW,22,17,4,0,,0,,,,,202601,경상북도,봉화군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
272,영주,996.1,1023.0,-3.1,-0.9,1.5,10.0,16,-7.8,-13.0,31,0,30,-9.4,50.0,3.0,,217.6,72.7,1.7,-16.7,1.5,13,3,1,0,0,,4.6,11.7,WNW,13,15,3,0,,0,,,,,202601,경상북도,영주시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
273,문경,1001.0,1023.0,-2.3,-0.6,2.7,12.8,15,-7.2,-12.3,22,0,31,-10.9,48.0,2.9,,214.4,69.2,9.2,-9.7,6.8,10,4,3,0,0,,2.6,8.5,WNW,10,16,3,0,,0,,,,,202601,경상북도,문경시,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
276,청송군,995.8,1022.4,-3.3,-0.5,3.1,13.1,18,-9.4,-14.9,31,0,31,-12.3,46.0,2.3,,235.9,76.0,2.4,-14.4,1.5,10,4,1,0,0,,2.9,10.2,NW,10,18,2,0,,0,,,,,202601,경상북도,청송군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
277,영덕,1016.2,1021.3,0.0,-1.0,5.0,15.3,15,-4.8,-10.8,22,0,28,-7.8,40.0,2.2,,239.9,77.5,0.3,-37.1,0.3,10,1,0,0,0,,3.7,12.8,W,11,20,1,0,,0,,,,,202601,경상북도,영덕군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
278,의성,1012.3,1022.8,-3.2,-0.2,4.5,14.4,15,-9.9,-14.3,3,0,31,-14.7,54.0,2.5,,230.1,74.2,1.7,-13.8,1.4,10,3,1,0,0,,1.4,9.0,W,10,18,3,0,,0,,,,,202601,경상북도,의성군,지점명-시군구명 유일 직접연결,관측지점 값은 시군구 전체 평균이 아님
